,8000000000,20000000000,32000000000,64000000000,16000000000,40000000000,48000000000,80000000000,112000000000,96000000000,144000000000,160000000000,256000000000,384000000000,512000000000,128000000000,640000000000
1,911124.445600,1050365.274000,1257946.485200,2093344.149600,,,,,,,,,,,,,
8,815928.089200,971111.096000,1246790.000000,1919790.000000,,,,,,,,,,,,,
9,1228789.325200,1461630.091600,2121581.174000,3118729.132400,,,,,,,,,,,,,
10,933133.857200,1128415.982400,1565275.523600,2489756.864800,,,,,,,,,,,,,
11,830351.472400,960253.246800,1271190.000000,2198618.426800,,,,,,,,,,,,,
12,816072.974400,925141.024800,1173340.201600,2124860.477600,,,,,,,,,,,,,
13,812790.000000,919220.698400,1137296.843200,2089027.152000,,,,,,,,,,,,,
14,812790.000000,,1137296.843200,2089027.152000,,,,,,,,,,,,,
18,830351.472400,960253.246800,1250593.737866666666666666667,2176821.026311111111111111111,,,,,,,,,,,,,
19,816072.974400,925141.024800,1167517.089155555555555555556,2088273.147911111111111111111,,,,,,,,,,,,,
20,2446380.548000,3204932.401600,7357396.788000,8226394.494400,,,,,,,,,,,,,
15,2446380.548000,3204932.401600,7357396.788000,8226394.494400,,,,,,,,,,,,,
21,2446380.548000,3204932.401600,7357396.788000,8226394.494400,,,,,,,,,,,,,
25,798762.497200,919644.549200,1158329.956000,1815649.441200,,,,,,,,,,,,,
26,798861.556800,918248.406000,1163952.284400,1757631.660800,,,,,,,,,,,,,
27,798861.556800,918657.329200,1163347.294400,1756194.606000,,,,,,,,,,,,,
28,920867.136400,1139426.295600,1498729.903600,2382972.815600,,,,,,,,,,,,,
29,817940.000000,962169.498400,1228971.891911111111111111111,2107278.571022222222222222222,,,,,,,,,,,,,
30,814055.766000,928517.901200,1164975.179100,2047924.282488888888888888889,,,,,,,,,,,,,
