,max_fct,algorithm_id,algorithm_name,topology_id,topology_name,topology_param
0,2242844.92,1,RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
1,1968357.56,8,RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
2,3187868.26,9,RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
3,2537634.47,10,RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
4,2247146.85,11, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
5,2175065.15,12, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
6,2140925.14,13, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
7,2140925.14,14, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
8,9449247.52,15, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
9,2323458.30,18, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
10,2240933.97,19, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
11,9449247.52,20, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
12,9449247.52,21, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
13,1851973.54,25, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
14,1787473.32,26, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
15,1781025.09,27, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
16,2525185.67,28, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
17,2258790.00,29, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
18,2201728.14,30, RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,1,RotorNetTopologyConfiguration,"0    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
19,2212290.00,1,RotorNetTorToTorTwoHopAlgorithmWithFullRateAll...,4,RotorNetTopologyConfiguration,"3    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
20,1764000.00,2,CerberusAlgorithmConfiguration,5,CerberusTopologyConfiguration,"4    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
21,1744602.15,6,CerberusAlgorithmConfiguration,6,CerberusTopologyConfiguration,"5    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""tor_...
Name: parameter, dtype: object"
22,2878555.53,4,GreedyScoreBasedAlgorithmConfiguration,12, ExpanderNetTopologyConfiguration,"11    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""nr_l...
Name: parameter, dtype: object"
23,3226272.14,7,TorByTorGreedyScoreBasedAlgorithmConfiguration,12, ExpanderNetTopologyConfiguration,"11    {""nr_hosts_per_rack"": 1, ""nr_racks"": 64, ""nr_l...
Name: parameter, dtype: object"
